date,new_confirmed,new_deaths,new_recovered,new_pos_to_neg,active_pos,cases_in_hospital,total_confirmed,total_deaths,total_recovered,total_pos_to_neg,lockdown,lockdown_duration
3/1/2020,1,0,0,0,1,1,2,0,1,1,No,0
3/2/2020,0,0,0,0,1,1,2,0,1,1,No,0
3/3/2020,0,0,0,0,1,1,2,0,1,1,No,0
3/4/2020,0,0,0,0,1,1,2,0,1,1,No,0
3/5/2020,1,0,0,0,2,2,3,0,1,1,No,0
3/6/2020,12,0,0,0,14,14,15,0,1,1,No,0
3/7/2020,33,0,0,0,47,47,48,0,1,1,No,0
3/8/2020,7,1,0,0,54,54,55,1,1,1,No,0
3/9/2020,4,0,0,20,38,58,59,1,1,21,No,0
3/10/2020,1,0,0,5,34,59,60,1,1,26,No,0
3/11/2020,7,0,7,1,40,59,67,1,8,27,No,0
3/12/2020,13,1,12,0,53,60,80,2,20,27,No,0
3/13/2020,13,0,1,5,61,72,93,2,21,32,No,0
3/14/2020,17,0,0,1,77,89,110,2,21,33,No,0
3/15/2020,16,0,5,1,92,100,126,2,26,34,No,0
3/16/2020,40,2,0,0,132,140,166,4,26,34,No,0
3/17/2020,30,2,0,0,162,170,196,6,26,34,No,0
3/18/2020,14,0,2,6,170,182,210,6,28,40,No,0
3/19/2020,46,1,0,2,214,228,256,7,28,42,No,0
3/20/2020,29,1,11,18,225,246,285,8,39,60,No,0
3/21/2020,9,2,2,13,221,253,294,10,41,73,No,0
3/22/2020,33,4,15,1,253,271,327,14,56,74,No,0
3/23/2020,39,5,12,22,270,298,366,19,68,96,No,0
3/24/2020,36,1,12,4,302,322,402,20,80,100,No,0
3/25/2020,54,1,15,13,343,361,456,21,95,113,Yes,11
3/26/2020,39,3,7,17,365,393,495,24,102,130,Yes,11
3/27/2020,41,6,14,17,389,420,536,30,116,147,Yes,11
3/28/2020,40,6,5,14,415,455,576,36,121,161,Yes,11
3/29/2020,33,4,11,21,427,477,609,40,132,182,Yes,11
3/30/2020,47,1,18,14,460,506,656,41,150,196,Yes,11
3/31/2020,54,5,7,9,505,553,710,46,157,205,Yes,11
4/1/2020,69,6,22,16,558,600,779,52,179,221,Yes,11
4/2/2020,86,6,22,61,583,664,865,58,201,282,Yes,11
4/3/2020,120,8,15,14,689,769,985,66,216,296,Yes,11
4/4/2020,85,5,25,10,764,829,1070,71,241,306,Yes,11
4/5/2020,103,7,6,40,827,926,1173,78,247,346,Yes,11
4/6/2020,149,7,12,50,926,1063,1322,85,259,396,Yes,11
4/7/2020,128,9,17,31,1023,1174,1450,94,276,427,Yes,11
4/8/2020,110,9,29,12,1121,1255,1560,103,305,439,Yes,10
4/9/2020,139,15,43,29,1231,1351,1699,118,348,468,Yes,10
4/10/2020,95,17,36,37,1289,1410,1794,135,384,505,Yes,10
4/11/2020,145,11,42,37,1397,1513,1939,146,426,542,Yes,10
4/12/2020,126,13,21,47,1476,1618,2065,159,447,589,Yes,10
4/13/2020,125,5,41,33,1568,1702,2190,164,488,622,Yes,10
4/14/2020,160,14,26,61,1667,1836,2350,178,514,683,Yes,10
4/15/2020,155,5,39,68,1754,1952,2505,183,553,751,Yes,10
4/16/2020,168,13,43,30,1892,2077,2673,196,596,781,Yes,10
4/17/2020,171,9,50,110,1953,2198,2844,205,646,891,Yes,10
4/18/2020,188,19,55,89,2052,2331,3032,224,701,980,Yes,10
4/19/2020,112,15,31,21,2143,2412,3144,239,732,1001,Yes,10
4/20/2020,189,11,89,85,2247,2512,3333,250,821,1086,Yes,10
4/21/2020,157,14,49,95,2309,2620,3490,264,870,1181,Yes,10
4/22/2020,169,12,65,89,2389,2724,3659,276,935,1270,Yes,10
4/23/2020,232,11,69,64,2557,2887,3891,287,1004,1334,Yes,10
4/24/2020,201,7,71,83,2675,3017,4092,294,1075,1417,Yes,9
4/25/2020,227,13,39,33,2869,3205,4319,307,1114,1450,Yes,9
4/26/2020,215,10,62,52,3032,3358,4534,317,1176,1502,Yes,9
4/27/2020,248,20,60,100,3180,3546,4782,337,1236,1602,Yes,9
4/28/2020,260,22,68,67,3373,3738,5042,359,1304,1669,Yes,9
4/29/2020,226,21,31,43,3556,3933,5268,380,1335,1712,Yes,9
4/30/2020,269,12,46,68,3757,4156,5537,392,1381,1780,Yes,9
5/1/2020,358,14,79,95,4020,4435,5895,406,1460,1875,Yes,9
5/2/2020,298,9,62,95,4223,4671,6193,415,1522,1970,Yes,9
5/3/2020,272,14,40,71,4424,4903,6465,429,1562,2041,Yes,9
5/4/2020,348,7,70,98,4674,5181,6813,436,1632,2139,Yes,9
5/5/2020,388,16,98,85,4977,5471,7201,452,1730,2224,Yes,9
5/6/2020,387,17,85,90,5274,5773,7588,469,1815,2314,Yes,9
5/7/2020,393,13,72,64,5603,6094,7981,482,1887,2378,Yes,9
5/8/2020,495,21,58,38,6060,6531,8476,503,1945,2416,Yes,9
5/9/2020,488,11,57,60,6488,6962,8964,514,2002,2476,Yes,9
5/10/2020,436,11,73,80,6844,7325,9400,525,2075,2556,Yes,9
5/11/2020,346,8,97,99,7091,7574,9746,533,2172,2655,Yes,9
5/12/2020,347,11,154,156,7282,7767,10093,544,2326,2811,Yes,9
5/13/2020,338,12,160,169,7451,7945,10431,556,2486,2980,Yes,9
5/14/2020,398,15,140,153,7696,8203,10829,571,2626,3133,Yes,9
5/15/2020,399,21,173,230,7865,8429,11228,592,2799,3363,Yes,9
5/16/2020,491,20,151,163,8193,8769,11719,612,2950,3526,Yes,9
5/17/2020,510,18,222,216,8487,9057,12229,630,3172,3742,Yes,9
5/18/2020,535,15,268,259,8763,9324,12764,645,3440,4001,Yes,9
5/19/2020,720,14,302,274,9209,9742,13484,659,3742,4275,Yes,9
5/20/2020,745,21,252,309,9645,10235,14229,680,3994,4584,Yes,9
5/21/2020,774,16,223,214,10205,10786,15003,696,4217,4798,Yes,9
5/22/2020,783,11,157,162,10826,11412,15786,707,4374,4960,Yes,9
5/23/2020,727,28,254,232,11321,11885,16513,735,4628,5192,Yes,9
5/24/2020,752,29,179,174,11899,12458,17265,764,4807,5366,Yes,13
